City_Id,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,shenzhen,22.5455,114.0683,83.21,89,100,9.75,CN,1660156750
332,palmer,42.1584,-72.3287,85.64,48,75,5.75,US,1660156464
333,asfi,32.2994,-9.2372,71.4,76,0,11.92,MA,1660156754
334,tumut,-35.3,148.2167,45.99,79,100,4.43,AU,1660156757
335,bonfim,3.0833,-59.95,92.01,45,23,4.27,BR,1660156759
336,kaeo,-35.1,173.7833,49.32,93,95,7.52,NZ,1660156762
337,norman wells,65.282,-126.8329,49.75,77,100,9.08,CA,1660156672
338,touros,-5.1989,-35.4608,80.02,62,5,14.14,BR,1660156767
339,oktyabrskoye,43.0645,44.7417,69.94,68,0,4.47,RU,1660156769
340,boa vista,2.8197,-60.6733,93.18,43,40,5.75,BR,1660156528
341,torit,4.4133,32.5678,69.82,89,80,3.31,SS,1660156774
342,cheney,47.4874,-117.5758,86.25,43,75,9.22,US,1660156776
343,taoudenni,22.6783,-3.9836,106.47,14,95,7.7,ML,1660156779
344,puerto del rosario,28.5004,-13.8627,76.75,73,20,16.11,ES,1660156781
345,eregli,37.5133,34.0467,77.09,38,5,2.15,TR,1660156786
346,maniitsoq,65.4167,-52.9,43.07,88,100,3.0,GL,1660156788
347,nanortalik,60.1432,-45.2371,45.84,77,77,4.97,GL,1660156790
348,general elizardo aquino,-24.4333,-56.7,59.7,63,100,2.06,PY,1660156793
349,miramar,25.9873,-80.2323,93.02,66,40,14.97,US,1660156795
350,atar,20.5169,-13.0499,109.45,18,6,6.91,MR,1660156798
351,maamba,-17.3667,27.15,66.29,32,0,3.53,ZM,1660156800
352,zyryanovsk,49.7386,84.2719,62.01,65,9,2.37,KZ,1660156803
353,nouadhibou,20.931,-17.0347,76.98,69,0,23.02,MR,1660156808
354,tautira,-17.7333,-149.15,76.23,76,57,10.49,PF,1660156810
355,wanning,18.8003,110.3967,79.05,90,100,14.85,CN,1660156813
356,wawa,9.9022,4.4192,78.75,76,100,3.96,NG,1660156815
357,awjilah,29.1081,21.2869,86.23,42,0,17.58,LY,1660156818
358,half moon bay,37.4636,-122.4286,80.91,68,0,11.5,US,1660156769
359,ouadda,8.0777,22.4007,69.04,98,100,3.4,CF,1660156827
360,nikolayevsk-na-amure,53.1406,140.73,53.82,97,94,1.95,RU,1660156834
361,nishihara,26.1842,127.7558,83.48,85,40,4.61,JP,1660156836
362,baghdad,33.3406,44.4009,96.71,24,0,13.8,IQ,1660156757
363,lavrentiya,65.5833,-171.0,49.24,70,100,7.76,RU,1660156841
364,upernavik,72.7868,-56.1549,40.57,86,99,8.01,GL,1660156843
365,husavik,66.0449,-17.3389,45.54,87,94,13.24,IS,1660156846
366,hambantota,6.1241,81.1185,77.34,94,20,5.75,LK,1660156848
